,ITEM_ID,COR,SESSION_ID,ITEM_PRICE,INTERESTED
1222,255995290,PRETO,196.409931687,27.99,0.0
2980,255995290,PRETO,243.82370636099998,27.99,0.0
4615,255994238,VERMELHO,463.901566792,27.99,0.0
5774,255994238,VERMELHO,528.579433644,27.99,0.0
5980,255995290,PRETO,178.664925367,27.99,0.0
6193,255995290,PRETO,950.864210798,27.99,0.0
6951,255995290,PRETO,747.317766138,27.99,0.0
8092,255995290,PRETO,149.874904597,27.99,0.0
8276,255994238,VERMELHO,440.844604573,27.99,1.0
9691,255994238,VERMELHO,248.54664802599999,27.99,0.0
9780,255994238,VERMELHO,749.7387361089999,27.99,0.0
10280,255995290,PRETO,224.290514497,27.99,0.0
10849,255994238,VERMELHO,776.789842862,27.99,0.0
11865,255994238,VERMELHO,852.6164597889999,27.99,0.0
12639,255994238,VERMELHO,516.632904048,27.99,0.0
13170,255995290,PRETO,352.421369088,27.99,0.0
14061,255995290,PRETO,18.4906504858,27.99,0.0
15489,255995290,PRETO,689.280029051,27.99,0.0
17099,255994238,VERMELHO,348.911035697,27.99,0.0
19082,255995290,PRETO,562.797034919,27.99,0.0
19390,255995290,PRETO,176.535738962,27.99,0.0
19482,255994238,VERMELHO,562.797034919,27.99,0.0
20810,255995290,PRETO,464.886160076,27.99,0.0
21535,255994238,VERMELHO,726.468740645,27.99,0.0
21687,255995290,PRETO,338.137427301,19.9,1.0
21920,255994238,VERMELHO,142.12022503,27.99,0.0
22839,255995290,PRETO,294.438683295,27.99,0.0
23376,255995290,PRETO,398.632566488,27.99,0.0
24122,255994238,VERMELHO,931.754061403,25.8471428571,0.0
25183,255995290,PRETO,814.380127639,27.99,0.0
25728,255995290,PRETO,910.5562071769999,27.99,0.0
26547,255995290,PRETO,515.844840739,27.99,0.0
27798,255995290,PRETO,429.297473815,27.99,0.0
28612,255995290,PRETO,682.53745213,27.99,0.0
28823,255994238,VERMELHO,969.159333214,27.99,0.0
29835,255994238,VERMELHO,610.264442325,27.99,0.0
30898,255994238,VERMELHO,707.086235446,27.99,0.0
33036,255995290,PRETO,29.6022395149,27.99,0.0
33053,255994238,VERMELHO,439.237950394,27.99,0.0
34257,255995290,PRETO,188.38772391700002,27.99,0.0
34740,255995290,PRETO,724.894344429,27.99,1.0
35483,255994238,VERMELHO,113.79377514299999,25.49,0.0
36038,255994238,VERMELHO,124.149509569,22.99,0.0
36356,255994238,VERMELHO,260.837445652,27.99,0.0
37347,255995290,PRETO,453.263515879,27.99,0.0
39389,255994238,VERMELHO,247.195341224,27.99,1.0
39601,255995290,PRETO,762.4870116469999,27.99,0.0
39909,255995290,PRETO,117.38709606299999,27.99,0.0
41147,255995290,PRETO,578.50005838,27.99,0.0
41722,255995290,PRETO,889.6142291289999,27.99,0.0
43149,255994238,VERMELHO,134.176199689,27.99,0.0
43640,255995290,PRETO,561.113435062,27.99,0.0
44763,255994238,VERMELHO,196.409931687,27.99,0.0
45789,255995290,PRETO,407.601577265,27.99,0.0
46457,255995290,PRETO,49.40970723939999,27.99,0.0
47469,255995290,PRETO,273.028272323,27.99,0.0
50500,255995290,PRETO,466.360511379,27.24,0.0
51038,255995290,PRETO,528.73578484,26.49,0.0
51348,255994238,VERMELHO,160.528602192,27.99,0.0
53369,255995290,PRETO,309.980201318,27.99,0.0
55233,255994238,VERMELHO,680.452659135,27.99,0.0
55436,255994238,VERMELHO,662.731064964,27.99,0.0
56144,255995290,PRETO,645.009470793,27.99,0.0
56217,255995290,PRETO,232.459090182,27.99,0.0
57947,255995290,PRETO,103.297583335,27.99,0.0
59415,255994238,VERMELHO,105.88949349,27.54055555555,0.0
60241,255995290,PRETO,442.74705734,27.091111111100002,0.0
60714,255994238,VERMELHO,175.262343838,27.99,0.0
62147,255994238,VERMELHO,881.26753773,27.99,0.0
64363,255995290,PRETO,136.341482017,27.99,0.0
65649,255995290,PRETO,712.928966705,27.99,0.0
65774,255995290,PRETO,427.70810176300006,27.99,0.0
66259,255995290,PRETO,75.2933541942,27.99,0.0
67535,255994238,VERMELHO,503.16447235,27.99,0.0
69443,255995290,PRETO,247.195341224,27.99,1.0
70545,255994238,VERMELHO,791.154667554,27.99,0.0
70870,255994238,VERMELHO,987.297449079,27.99,0.0
71281,255994238,VERMELHO,570.842522451,27.99,0.0
73172,255995290,PRETO,478.908526348,27.99,0.0
73557,255994238,VERMELHO,484.883353935,27.99,0.0
76074,255995290,PRETO,264.2343815,27.99,0.0
76114,255995290,PRETO,492.349679312,27.99,1.0
76959,255994238,VERMELHO,356.734868521,27.99,0.0
78758,255995290,PRETO,621.054736801,27.99,0.0
80064,255995290,PRETO,193.19648454400001,27.99,0.0
80202,255995290,PRETO,807.2088101689999,27.99,0.0
81414,255995290,PRETO,734.790933565,27.99,0.0
81698,255995290,PRETO,969.159333214,27.99,1.0
81753,255994238,VERMELHO,92.3835908453,27.99,0.0
81850,255995290,PRETO,679.832497783,27.99,0.0
82198,255995290,PRETO,252.617422918,27.99,0.0
82695,255995290,PRETO,972.2056636919999,27.99,0.0
84409,255995290,PRETO,597.762633176,27.99,0.0
87258,255995290,PRETO,841.6440393419999,27.99,0.0
89651,255994238,VERMELHO,965.47892822,27.99,0.0
90090,255995290,PRETO,40.4308969645,27.99,0.0
90208,255995290,PRETO,733.816811842,27.99,0.0
92082,255995290,PRETO,396.995321111,27.99,0.0
92345,255995290,PRETO,113.79377514299999,27.99,0.0
92601,255995290,PRETO,68.2613410925,27.99,0.0
95121,255994238,VERMELHO,570.529554847,27.99,0.0
95215,255995290,PRETO,723.730392613,25.9675,0.0
97569,255995290,PRETO,808.5916570810001,27.99,0.0
97630,255994238,VERMELHO,733.816811842,27.99,0.0
97850,255995290,PRETO,951.5976769680001,27.99,0.0
98133,255994238,VERMELHO,220.967202552,27.99,0.0
100171,255995290,PRETO,696.3712466589999,27.99,0.0
108469,255995290,PRETO,593.90448662,27.99,0.0
109187,255995290,PRETO,491.437726581,27.99,0.0
111774,255995290,PRETO,761.9455102630001,25.99,0.0
112435,255995290,PRETO,988.739719514,27.99,0.0
112745,255995290,PRETO,482.893949566,27.99,0.0
113172,255995290,PRETO,445.270152255,27.99,1.0
116796,255995290,PRETO,6.9716833091399995,27.091111111100002,0.0
119158,255995290,PRETO,440.844604573,27.99,1.0
